AM;Last name;First name;New course code;New course name;Old course code;Old course name;Grade
SR000010;ΕΠΩΝΥΜΟ 0010;ΟΝΟΜΑ 0010;ICE1-1001;ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ;ICE1-1001;ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ;8.6
SR000010;ΕΠΩΝΥΜΟ 0010;ΟΝΟΜΑ 0010;ICE1-1002;ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ;ICE1-1002;ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ;6.8
SR000010;ΕΠΩΝΥΜΟ 0010;ΟΝΟΜΑ 0010;ICE1-1006;ΦΥΣΙΚΗ;ICE1-1006;ΦΥΣΙΚΗ;0.3
SR000011;ΕΠΩΝΥΜΟ 0011;ΟΝΟΜΑ 0011;ICE1-1006;ΦΥΣΙΚΗ;ICE1-1006;ΦΥΣΙΚΗ;4.2
SR000011;ΕΠΩΝΥΜΟ 0011;ΟΝΟΜΑ 0011;ICE1-1006;ΦΥΣΙΚΗ;ICE1-1006;ΦΥΣΙΚΗ;8.6
SR000015;ΕΠΩΝΥΜΟ 0015;ΟΝΟΜΑ 0015;ICE1-2005;ΨΗΦΙΑΚΗ ΣΧΕΔΙΑΣΗ;ICE1-2005;ΨΗΦΙΑΚΗ ΣΧΕΔΙΑΣΗ;0.3
SR000015;ΕΠΩΝΥΜΟ 0015;ΟΝΟΜΑ 0015;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;3.4
SR000015;ΕΠΩΝΥΜΟ 0015;ΟΝΟΜΑ 0015;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;3.4
SR000015;ΕΠΩΝΥΜΟ 0015;ΟΝΟΜΑ 0015;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;3.4
SR000015;ΕΠΩΝΥΜΟ 0015;ΟΝΟΜΑ 0015;ICE1-2006;ΘΕΩΡΙΑ ΚΥΚΛΩΜΑΤΩΝ;ICE1-2006;ΘΕΩΡΙΑ ΚΥΚΛΩΜΑΤΩΝ;0.3
SR000015;ΕΠΩΝΥΜΟ 0015;ΟΝΟΜΑ 0015;ICE1-3004;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ Ι;ICE1-3004;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ Ι;10.0
SR000015;ΕΠΩΝΥΜΟ 0015;ΟΝΟΜΑ 0015;ICE1-3005;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ Ι;ICE1-3005;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ Ι;10.0
SR000015;ΕΠΩΝΥΜΟ 0015;ΟΝΟΜΑ 0015;ICE1-5003;ΑΝΑΛΥΣΗ ΚΑΙ ΣΧΕΔΙΑΣΜΟΣ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ;ICE1-5003;ΑΝΑΛΥΣΗ ΚΑΙ ΣΧΕΔΙΑΣΜΟΣ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ;7.4
SR000017;ΕΠΩΝΥΜΟ 0017;ΟΝΟΜΑ 0017;ICE1-2002;ΠΙΘΑΝΟΤΗΤΕΣ ΚΑΙ ΣΤΑΤΙΣΤΙΚΗ;ICE1-2002;ΠΙΘΑΝΟΤΗΤΕΣ ΚΑΙ ΣΤΑΤΙΣΤΙΚΗ;10.0
SR000017;ΕΠΩΝΥΜΟ 0017;ΟΝΟΜΑ 0017;ICE1-4003;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ ΙΙ;ICE1-4003;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ ΙΙ;6.8
SR000017;ΕΠΩΝΥΜΟ 0017;ΟΝΟΜΑ 0017;ICE1-7404;ΔΙΚΑΙΟ ΚΑΙ ΚΥΒΕΡΝΟΗΘΙΚΗ;ICE1-7404;ΔΙΚΑΙΟ ΚΑΙ ΚΥΒΕΡΝΟΗΘΙΚΗ;7.6
SR000018;ΕΠΩΝΥΜΟ 0018;ΟΝΟΜΑ 0018;ICE1-1001;ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ;ICE1-1001;ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ;7.5
SR000018;ΕΠΩΝΥΜΟ 0018;ΟΝΟΜΑ 0018;ICE1-1001;ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ;ICE1-1001;ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ;0.3
SR000018;ΕΠΩΝΥΜΟ 0018;ΟΝΟΜΑ 0018;ICE1-1002;ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ;ICE1-1002;ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ;7.5
SR000018;ΕΠΩΝΥΜΟ 0018;ΟΝΟΜΑ 0018;ICE1-1002;ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ;ICE1-1002;ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ;0.3
SR000018;ΕΠΩΝΥΜΟ 0018;ΟΝΟΜΑ 0018;ICE1-1003;ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ;ICE1-1003;ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ;1.1
SR000018;ΕΠΩΝΥΜΟ 0018;ΟΝΟΜΑ 0018;ICE1-1003;ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ;ICE1-1003;ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ;9.3
SR000018;ΕΠΩΝΥΜΟ 0018;ΟΝΟΜΑ 0018;ICE1-1005;ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ;ICE1-1005;ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ;0.3
SR000018;ΕΠΩΝΥΜΟ 0018;ΟΝΟΜΑ 0018;ICE1-1005;ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ;ICE1-1005;ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ;8.6
SR000018;ΕΠΩΝΥΜΟ 0018;ΟΝΟΜΑ 0018;ICE1-1006;ΦΥΣΙΚΗ;ICE1-1006;ΦΥΣΙΚΗ;2.9
SR000018;ΕΠΩΝΥΜΟ 0018;ΟΝΟΜΑ 0018;ICE1-2005;ΨΗΦΙΑΚΗ ΣΧΕΔΙΑΣΗ;ICE1-2005;ΨΗΦΙΑΚΗ ΣΧΕΔΙΑΣΗ;0.3
SR000018;ΕΠΩΝΥΜΟ 0018;ΟΝΟΜΑ 0018;ICE1-2002;ΠΙΘΑΝΟΤΗΤΕΣ ΚΑΙ ΣΤΑΤΙΣΤΙΚΗ;ICE1-2002;ΠΙΘΑΝΟΤΗΤΕΣ ΚΑΙ ΣΤΑΤΙΣΤΙΚΗ;10.0
SR000018;ΕΠΩΝΥΜΟ 0018;ΟΝΟΜΑ 0018;ICE1-2001;ΣΧΕΔΙΑΣΗ ΚΑΙ ΑΝΑΛΥΣΗ ΑΛΓΟΡΙΘΜΩΝ;ICE1-2001;ΣΧΕΔΙΑΣΗ ΚΑΙ ΑΝΑΛΥΣΗ ΑΛΓΟΡΙΘΜΩΝ;10.0
SR000018;ΕΠΩΝΥΜΟ 0018;ΟΝΟΜΑ 0018;ICE1-2001;ΣΧΕΔΙΑΣΗ ΚΑΙ ΑΝΑΛΥΣΗ ΑΛΓΟΡΙΘΜΩΝ;ICE1-2001;ΣΧΕΔΙΑΣΗ ΚΑΙ ΑΝΑΛΥΣΗ ΑΛΓΟΡΙΘΜΩΝ;10.0
SR000018;ΕΠΩΝΥΜΟ 0018;ΟΝΟΜΑ 0018;ICE1-2006;ΘΕΩΡΙΑ ΚΥΚΛΩΜΑΤΩΝ;ICE1-2006;ΘΕΩΡΙΑ ΚΥΚΛΩΜΑΤΩΝ;7.5
SR000018;ΕΠΩΝΥΜΟ 0018;ΟΝΟΜΑ 0018;ICE1-2006;ΘΕΩΡΙΑ ΚΥΚΛΩΜΑΤΩΝ;ICE1-2006;ΘΕΩΡΙΑ ΚΥΚΛΩΜΑΤΩΝ;0.3
SR000019;ΕΠΩΝΥΜΟ 0019;ΟΝΟΜΑ 0019;ICE1-5004;ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ;ICE1-5004;ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ;3.9
SR000021;ΕΠΩΝΥΜΟ 0021;ΟΝΟΜΑ 0021;ICE1-1006;ΦΥΣΙΚΗ;ICE1-1006;ΦΥΣΙΚΗ;8.6
SR000021;ΕΠΩΝΥΜΟ 0021;ΟΝΟΜΑ 0021;ICE1-2006;ΘΕΩΡΙΑ ΚΥΚΛΩΜΑΤΩΝ;ICE1-2006;ΘΕΩΡΙΑ ΚΥΚΛΩΜΑΤΩΝ;7.5
SR000021;ΕΠΩΝΥΜΟ 0021;ΟΝΟΜΑ 0021;ICE1-3004;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ Ι;ICE1-3004;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ Ι;4.3
SR000021;ΕΠΩΝΥΜΟ 0021;ΟΝΟΜΑ 0021;ICE1-3004;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ Ι;ICE1-3004;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ Ι;8.6
SR000028;ΕΠΩΝΥΜΟ 0028;ΟΝΟΜΑ 0028;ICE1-1003;ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ;ICE1-1003;ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ;3.5
SR000028;ΕΠΩΝΥΜΟ 0028;ΟΝΟΜΑ 0028;ICE1-1003;ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ;ICE1-1003;ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ;2.0
SR000028;ΕΠΩΝΥΜΟ 0028;ΟΝΟΜΑ 0028;ICE1-2005;ΨΗΦΙΑΚΗ ΣΧΕΔΙΑΣΗ;ICE1-2005;ΨΗΦΙΑΚΗ ΣΧΕΔΙΑΣΗ;1.1
SR000028;ΕΠΩΝΥΜΟ 0028;ΟΝΟΜΑ 0028;ICE1-3004;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ Ι;ICE1-3004;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ Ι;5.6
SR000028;ΕΠΩΝΥΜΟ 0028;ΟΝΟΜΑ 0028;ICE1-3004;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ Ι;ICE1-3004;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ Ι;8.6
SR000029;ΕΠΩΝΥΜΟ 0029;ΟΝΟΜΑ 0029;ICE1-1006;ΦΥΣΙΚΗ;ICE1-1006;ΦΥΣΙΚΗ;10.0
SR000029;ΕΠΩΝΥΜΟ 0029;ΟΝΟΜΑ 0029;ICE1-2006;ΘΕΩΡΙΑ ΚΥΚΛΩΜΑΤΩΝ;ICE1-2006;ΘΕΩΡΙΑ ΚΥΚΛΩΜΑΤΩΝ;7.5
SR000029;ΕΠΩΝΥΜΟ 0029;ΟΝΟΜΑ 0029;ICE1-5003;ΑΝΑΛΥΣΗ ΚΑΙ ΣΧΕΔΙΑΣΜΟΣ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ;ICE1-5003;ΑΝΑΛΥΣΗ ΚΑΙ ΣΧΕΔΙΑΣΜΟΣ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ;8.1
SR000029;ΕΠΩΝΥΜΟ 0029;ΟΝΟΜΑ 0029;ICE1-5004;ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ;ICE1-5004;ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ;6.8
SR000029;ΕΠΩΝΥΜΟ 0029;ΟΝΟΜΑ 0029;ICE1-5006;ΕΙΣΑΓΩΓΗ ΣΤΟΝ ΠΑΡΑΛΛΗΛΟ ΥΠΟΛΟΓΙΣΜΟ;ICE1-5006;ΕΙΣΑΓΩΓΗ ΣΤΟΝ ΠΑΡΑΛΛΗΛΟ ΥΠΟΛΟΓΙΣΜΟ;1.8
SR000029;ΕΠΩΝΥΜΟ 0029;ΟΝΟΜΑ 0029;ICE1-5002;ΔΙΚΤΥΑΚΟΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ;ICE1-5002;ΔΙΚΤΥΑΚΟΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ;3.7
SR000029;ΕΠΩΝΥΜΟ 0029;ΟΝΟΜΑ 0029;ICE1-8101;ΑΛΛΗΛΕΠΙΔΡΑΣΗ ΑΝΘΡΩΠΟΥ-ΥΠΟΛΟΓΙΣΤΗ;ICE1-8101;ΑΛΛΗΛΕΠΙΔΡΑΣΗ ΑΝΘΡΩΠΟΥ-ΥΠΟΛΟΓΙΣΤΗ;0.3
SR000029;ΕΠΩΝΥΜΟ 0029;ΟΝΟΜΑ 0029;ICE1-6002;ΑΣΦΑΛΕΙΑ ΣΤΗΝ ΤΕΧΝΟΛΟΓΙΑ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;ICE1-6002;ΑΣΦΑΛΕΙΑ ΣΤΗΝ ΤΕΧΝΟΛΟΓΙΑ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;0.3
SR000029;ΕΠΩΝΥΜΟ 0029;ΟΝΟΜΑ 0029;ICE1-6003;ΜΕΤΑΓΛΩΤΤΙΣΤΕΣ;ICE1-6003;ΜΕΤΑΓΛΩΤΤΙΣΤΕΣ;4.0
SR000029;ΕΠΩΝΥΜΟ 0029;ΟΝΟΜΑ 0029;ICE1-7101;ΣΧΕΔΙΑΣΜΟΣ ΚΑΙ ΑΝΑΠΤΥΞΗ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ ;ICE1-7101;ΣΧΕΔΙΑΣΜΟΣ ΚΑΙ ΑΝΑΠΤΥΞΗ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ ;2.0
SR000029;ΕΠΩΝΥΜΟ 0029;ΟΝΟΜΑ 0029;ICE1-7102;ΑΝΑΚΤΗΣΗ ΠΛΗΡΟΦΟΡΙΑΣ;ICE1-7102;ΑΝΑΚΤΗΣΗ ΠΛΗΡΟΦΟΡΙΑΣ;0.3
SR000029;ΕΠΩΝΥΜΟ 0029;ΟΝΟΜΑ 0029;ICE1-7107;ΕΠΕΞΕΡΓΑΣΙΑ ΕΙΚΟΝΑΣ;ICE1-7107;ΕΠΕΞΕΡΓΑΣΙΑ ΕΙΚΟΝΑΣ;8.6
SR000030;ΕΠΩΝΥΜΟ 0030;ΟΝΟΜΑ 0030;ICE1-1002;ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ;ICE1-1002;ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ;10.0
SR000030;ΕΠΩΝΥΜΟ 0030;ΟΝΟΜΑ 0030;ICE1-1003;ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ;ICE1-1003;ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ;2.0
SR000030;ΕΠΩΝΥΜΟ 0030;ΟΝΟΜΑ 0030;ICE1-1003;ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ;ICE1-1003;ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ;7.5
SR000030;ΕΠΩΝΥΜΟ 0030;ΟΝΟΜΑ 0030;ICE1-1005;ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ;ICE1-1005;ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ;7.5
SR000030;ΕΠΩΝΥΜΟ 0030;ΟΝΟΜΑ 0030;ICE1-1006;ΦΥΣΙΚΗ;ICE1-1006;ΦΥΣΙΚΗ;1.8
SR000030;ΕΠΩΝΥΜΟ 0030;ΟΝΟΜΑ 0030;ICE1-2005;ΨΗΦΙΑΚΗ ΣΧΕΔΙΑΣΗ;ICE1-2005;ΨΗΦΙΑΚΗ ΣΧΕΔΙΑΣΗ;0.3
SR000030;ΕΠΩΝΥΜΟ 0030;ΟΝΟΜΑ 0030;ICE1-2002;ΠΙΘΑΝΟΤΗΤΕΣ ΚΑΙ ΣΤΑΤΙΣΤΙΚΗ;ICE1-2002;ΠΙΘΑΝΟΤΗΤΕΣ ΚΑΙ ΣΤΑΤΙΣΤΙΚΗ;10.0
SR000030;ΕΠΩΝΥΜΟ 0030;ΟΝΟΜΑ 0030;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;3.5
SR000030;ΕΠΩΝΥΜΟ 0030;ΟΝΟΜΑ 0030;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;3.5
SR000030;ΕΠΩΝΥΜΟ 0030;ΟΝΟΜΑ 0030;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;3.5
SR000030;ΕΠΩΝΥΜΟ 0030;ΟΝΟΜΑ 0030;ICE1-2001;ΣΧΕΔΙΑΣΗ ΚΑΙ ΑΝΑΛΥΣΗ ΑΛΓΟΡΙΘΜΩΝ;ICE1-2001;ΣΧΕΔΙΑΣΗ ΚΑΙ ΑΝΑΛΥΣΗ ΑΛΓΟΡΙΘΜΩΝ;7.5
SR000030;ΕΠΩΝΥΜΟ 0030;ΟΝΟΜΑ 0030;ICE1-2006;ΘΕΩΡΙΑ ΚΥΚΛΩΜΑΤΩΝ;ICE1-2006;ΘΕΩΡΙΑ ΚΥΚΛΩΜΑΤΩΝ;1.1
SR000034;ΕΠΩΝΥΜΟ 0034;ΟΝΟΜΑ 0034;ICE1-2005;ΨΗΦΙΑΚΗ ΣΧΕΔΙΑΣΗ;ICE1-2005;ΨΗΦΙΑΚΗ ΣΧΕΔΙΑΣΗ;7.5
SR000034;ΕΠΩΝΥΜΟ 0034;ΟΝΟΜΑ 0034;ICE1-4004;ΜΕΘΟΔΟΛΟΓΙΕΣ ΑΝΑΠΤΥΞΗΣ ΕΦΑΡΜΟΓΩΝ;ICE1-4004;ΜΕΘΟΔΟΛΟΓΙΕΣ ΑΝΑΠΤΥΞΗΣ ΕΦΑΡΜΟΓΩΝ;0.4
SR000034;ΕΠΩΝΥΜΟ 0034;ΟΝΟΜΑ 0034;ICE1-8101;ΑΛΛΗΛΕΠΙΔΡΑΣΗ ΑΝΘΡΩΠΟΥ-ΥΠΟΛΟΓΙΣΤΗ;ICE1-8101;ΑΛΛΗΛΕΠΙΔΡΑΣΗ ΑΝΘΡΩΠΟΥ-ΥΠΟΛΟΓΙΣΤΗ;4.3
SR000036;ΕΠΩΝΥΜΟ 0036;ΟΝΟΜΑ 0036;ICE1-1006;ΦΥΣΙΚΗ;ICE1-1006;ΦΥΣΙΚΗ;7.4
SR000036;ΕΠΩΝΥΜΟ 0036;ΟΝΟΜΑ 0036;ICE1-3004;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ Ι;ICE1-3004;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ Ι;3.4
SR000037;ΕΠΩΝΥΜΟ 0037;ΟΝΟΜΑ 0037;ICE1-3004;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ Ι;ICE1-3004;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ Ι;8.6
SR000037;ΕΠΩΝΥΜΟ 0037;ΟΝΟΜΑ 0037;ICE1-3004;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ Ι;ICE1-3004;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ Ι;5.4
SR000037;ΕΠΩΝΥΜΟ 0037;ΟΝΟΜΑ 0037;ICE1-3006;ΑΡΧΙΤΕΚΤΟΝΙΚΗ ΥΠΟΛΟΓΙΣΤΩΝ;ICE1-3006;ΑΡΧΙΤΕΚΤΟΝΙΚΗ ΥΠΟΛΟΓΙΣΤΩΝ;1.1
SR000037;ΕΠΩΝΥΜΟ 0037;ΟΝΟΜΑ 0037;ICE1-4003;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ ΙΙ;ICE1-4003;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ ΙΙ;0.3
SR000037;ΕΠΩΝΥΜΟ 0037;ΟΝΟΜΑ 0037;ICE1-4003;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ ΙΙ;ICE1-4003;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ ΙΙ;1.1
